,weekly_offers_links
49,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-18-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-19-11-1443-%d8%a8%d8%a7%d9%82%d9%8a-4-%d8%a3%d9%8a%d8%a7%d9%85.html
50,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%ac%d9%88%d8%a7%d9%84%d8%a7%d8%aa-%d9%85%d9%86-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-17-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85.html
51,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-17-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-18-11-1443-%d9%84%d8%a7-%d8%aa%d9%81%d9%88%d8%aa%d9%83%d9%85.html
52,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-1662022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-17111443-%d8%b9%d8%b1%d9%88%d8%b6-3-%d8%a3%d9%8a%d8%a7%d9%85.html
53,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-15-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-16-11-1443-%d8%a7%d8%b3%d8%aa%d8%b9%d8%af.html
54,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-14-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81.html
55,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-12-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-13-11-1443-%d8%a3%d9%82%d9%88%d9%89-%d8%a7%d9%84%d8%b9%d8%b1%d9%88.html
56,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b4%d8%a7%d8%b4%d8%a7%d8%aa-%d9%85%d9%86-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-11-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88.html
57,https://www.alsoouq.com/saudi-arabia-electronics/mobile-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%ac%d9%88%d8%a7%d9%84%d8%a7%d8%aa-%d9%85%d9%86-%d8%ac%d8%b1%d9%8a%d8%b1-%d8%a7%d9%84%d9%8a%d9%88%d9%85-10-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85.html
58,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-9-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-10-11-1443-%d8%b9%d8%b1%d9%88%d8%b6-3-%d8%a3%d9%8a%d8%a7%d9%85.html
