img_link,image_page_number,booklet_name,booklet_link,img_name,img_name.1,img_name
https://www.alsoouq.com//uploads/2022/07/3487886750.jpg,1.0,عروض العثيم اليوم الاثنين 25-7-2022 الموافق 26-12-1443 مهرجان الطازج & كيلو عليك وكيلو علينا,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-%d8%a7%d9%84%d8%a7%d8%ab%d9%86%d9%8a%d9%86-25-7-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-26-12-1443.html,3487886750.jpg,,3487886750.jpg
https://www.alsoouq.com//uploads/2022/07/5150196959.jpg,1.0,عروض العثيم اليوم الاثنين 25-7-2022 الموافق 26-12-1443 مهرجان الطازج & كيلو عليك وكيلو علينا,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-%d8%a7%d9%84%d8%a7%d8%ab%d9%86%d9%8a%d9%86-25-7-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-26-12-1443.html,5150196959.jpg,,5150196959.jpg
https://www.alsoouq.com//uploads/2022/07/9238958071.jpg,1.0,عروض العثيم اليوم الاثنين 25-7-2022 الموافق 26-12-1443 مهرجان الطازج & كيلو عليك وكيلو علينا,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-%d8%a7%d9%84%d8%a7%d8%ab%d9%86%d9%8a%d9%86-25-7-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-26-12-1443.html,9238958071.jpg,,9238958071.jpg
https://www.alsoouq.com//uploads/2022/07/267319503.jpg,1.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,267319503.jpg,,267319503.jpg
https://www.alsoouq.com//uploads/2022/07/5360231754.jpg,1.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,5360231754.jpg,,5360231754.jpg
https://www.alsoouq.com//uploads/2022/07/4970818910.JPEG,1.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,4970818910.JPEG,,4970818910.JPEG
https://www.alsoouq.com//uploads/2022/07/2079435239.JPEG,1.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,2079435239.JPEG,,2079435239.JPEG
https://www.alsoouq.com//uploads/2022/07/154676352.JPEG,1.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,154676352.JPEG,,154676352.JPEG
https://www.alsoouq.com//uploads/2022/07/6329171570.JPEG,1.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,6329171570.JPEG,,6329171570.JPEG
https://www.alsoouq.com//uploads/2022/07/6371642631.JPEG,2.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,6371642631.JPEG,,6371642631.JPEG
https://www.alsoouq.com//uploads/2022/07/4032020212.JPEG,2.0,عروض العثيم السبت 23 يوليو 2022 الموافق 24 ذو الحجة 1443 لاتفوتكم الساعات الأخيرة من عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d8%b3%d8%a8%d8%aa-23-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7.html,4032020212.JPEG,,4032020212.JPEG
